序號,產品,製造商/進口商,產品標示廠商,前次累計回收封存量(公斤),新增回收封存量(公斤),本次累計回收封存量(公斤)
"1","怡和地瓜粉","怡和澱粉有限公司(進口商)(新北市)","怡和澱粉有限公司(進口商)(新北市)","12020","0","12020"
"2","協奇化製澱粉","協奇農產澱粉廠(台南市)、協奇澱粉(新北市)、協奇企業行/乘儀商行(高雄市)","協奇農產澱粉廠(台南市)、協奇澱粉雄市)(新北市)、協奇企業行/乘儀商行(高","33245.3","0","33245.3"
"3","番薯粉(南光牌)","茂利公司(台南市)","茂利公司(台南市)","2000","0","2000"
"4","雙嘉牌番薯粉","嘉南澱粉廠(台南市)","嘉南澱粉廠(台南市)","18234","0","18234"
"5","清粉/番薯粉/特級粉/地瓜粉","郭信豐粉廠(嘉義縣)","郭信豐粉廠(嘉義縣)","2159.7","0","2159.7"
"6","原子粉","寶森澱粉行(台南市)","寶森澱粉行(台南市)","4540","0","4540"
"7","原子粉","裕樺澱粉工廠有限公司(台南市)","裕樺澱粉工廠有限公司(台南市)","2520","0","2520"
"8","天細粉/德細清粉","三進粉業股份有限公司(台南市)","三進粉業股份有限公司(台南市)","80000","0","80000"

